423;;;;;;443;;;;;;463;;;;;;483;;;;;
150;;;;;;170;;;;;;190;;;;;;210;;;;;
0.5;;1.0;;2.0;;0.5;;1.0;;2.0;;0.5;;1.0;;2.0;;0.5;;1.0;;2.0;
V (v)_150_05;I (nA)_150_05;V (v)_150_10;I (nA)_150_10;V (v)_150_20;I (nA)_150_20;V (v)_170_05;I (nA)_170_05;V (v)_170_10;I (nA)_170_10;V (v)_170_20;I (nA)_170_20;V (v)_190_05;I (nA)_190_05;V (v)_190_10;I (nA)_190_10;V (v)_190_20;I (nA)_190_20;V (v)_210_05;I (nA)_210_05;V (v)_210_10;I (nA)_210_10;V (v)_210_20;I (nA)_210_20
1.17;0.10;1.17;0.16;1.17;0.15;1.17;0.14;1.17;0.11;1.17;0.15;1.17;0.15;1.17;0.15;1.17;0.15;1.17;0.14;1.17;0.18;1.17;0.15
1.19;0.12;1.19;0.16;1.19;0.14;1.19;0.14;1.19;0.12;1.19;0.15;1.19;0.15;1.19;0.12;1.19;0.15;1.19;0.17;1.19;0.14;1.19;0.15
1.22;0.10;1.22;0.15;1.22;0.15;1.22;0.15;1.22;0.13;1.22;0.16;1.22;0.17;1.22;0.15;1.22;0.14;1.22;0.17;1.22;0.17;1.22;0.16
1.24;0.11;1.24;0.13;1.24;0.12;1.24;0.16;1.24;0.14;1.24;0.16;1.24;0.15;1.24;0.13;1.24;0.14;1.24;0.17;1.24;0.14;1.24;0.16
1.26;0.11;1.26;0.14;1.26;0.14;1.26;0.16;1.26;0.13;1.26;0.16;1.26;0.17;1.26;0.15;1.26;0.13;1.26;0.17;1.26;0.17;1.26;0.14
1.29;0.14;1.29;0.13;1.29;0.12;1.29;0.16;1.29;0.14;1.29;0.14;1.29;0.16;1.29;0.12;1.29;0.13;1.29;0.18;1.29;0.14;1.29;0.15
1.31;0.12;1.31;0.14;1.31;0.14;1.31;0.15;1.31;0.14;1.31;0.14;1.31;0.18;1.31;0.18;1.31;0.13;1.31;0.19;1.31;0.17;1.31;0.14
1.34;0.13;1.34;0.13;1.34;0.11;1.34;0.15;1.34;0.16;1.34;0.14;1.34;0.15;1.34;0.14;1.34;0.15;1.34;0.18;1.34;0.14;1.34;0.17
1.36;0.13;1.36;0.14;1.36;0.12;1.36;0.16;1.36;0.15;1.36;0.13;1.36;0.17;1.36;0.17;1.36;0.15;1.36;0.17;1.36;0.15;1.36;0.15
1.39;0.14;1.39;0.14;1.39;0.11;1.39;0.15;1.39;0.15;1.39;0.12;1.39;0.15;1.39;0.15;1.39;0.13;1.39;0.16;1.39;0.12;1.39;0.15
1.41;0.13;1.41;0.14;1.41;0.14;1.41;0.15;1.41;0.14;1.41;0.12;1.41;0.16;1.41;0.18;1.41;0.15;1.41;0.17;1.41;0.16;1.41;0.13
1.44;0.14;1.44;0.14;1.44;0.12;1.44;0.15;1.44;0.15;1.44;0.12;1.44;0.15;1.44;0.15;1.44;0.15;1.44;0.16;1.44;0.13;1.44;0.18
1.46;0.11;1.46;0.15;1.46;0.14;1.46;0.16;1.46;0.14;1.46;0.15;1.46;0.16;1.46;0.19;1.46;0.17;1.46;0.16;1.46;0.15;1.46;0.15
1.48;0.13;1.48;0.14;1.48;0.13;1.48;0.14;1.48;0.16;1.48;0.15;1.48;0.15;1.48;0.14;1.48;0.16;1.48;0.16;1.48;0.13;1.48;0.18
1.51;0.11;1.51;0.13;1.51;0.15;1.51;0.15;1.51;0.14;1.51;0.15;1.51;0.16;1.51;0.17;1.51;0.16;1.51;0.17;1.51;0.16;1.51;0.15
1.53;0.12;1.53;0.13;1.53;0.14;1.53;0.13;1.53;0.15;1.53;0.16;1.53;0.15;1.53;0.14;1.53;0.16;1.53;0.16;1.53;0.15;1.53;0.19
1.56;0.11;1.56;0.13;1.56;0.14;1.56;0.14;1.56;0.14;1.56;0.17;1.56;0.16;1.56;0.16;1.56;0.18;1.56;0.17;1.56;0.17;1.56;0.16
